Location,Photographer,Style,StartingPrice,Contact,Webpage,Review
"Parma, OH",Banker Creative,Photojournalistic,"$3,200 ",(330) 461-3070,http://banker-creative.com/,4
"Corona, CA",Bonie Weddings,Photojournalistic,"$2,000 ",hello@bonieweddings.com,https://bonieweddings.com/,4
"Winston-salem, NC",Becca's Pics,Classic,"$3,400 ",(336) 775-7048,http://www.beccaspics.com/,4
"Lynchburg, VA",Amative Creative,Fine Art,"$4,800 ",(434) 515-1215,http://www.amativecreative.com/,4
"Malibu, CA",Holly Castillo Photography,Photojournalistic,"$2,565 ",(805) 428-5324,http://hollycastillophotography.com/,4
"Rocky Mount, NC",Kingdom Shakers LLC,Classic,"$1,200 ",(252) 469-8322,https://kingdomshakersllc.mypixieset.com/brides,4
"Alto, GA",HLS Photography GA,Editorial,"$1,500 ",(706) 768-8254,https://hlsphotographyga.mypixieset.com/,4
"Tampa, FL",Journeys Photography 941,Photojournalistic,"$2,500 ",(813) 586-4918,https://www.journeysphotography941.com/,4
"St Augustine, FL",Ultimate Photos,Classic,"$2,750 ",richardhusey@ultimatephotosfl.com,https://www.ultimatephotosfl.com/,4
"Atlanta, GA",Alexis Renea Photography,Classic,"$2,000 ",(470) 632-4219,https://alexisreneaphotography.com/,4.5
"Asheville, NC",Payton Teffner Photography,Editorial,"$2,100 ",(205) 914-4341,https://www.paytonteffnerphotography.com/,4.5
"Charleston, SC",Sea and Shea Photo Co,Editorial,"$4,400 ",(270) 704-5872,https://seaandshea.com/,4.5
"Richardson, TX",Photo by Makenna Marie,Editorial,"$1,500 ",hello@bymakennamarie.com,https://bymakennamarie.showit.site/?utm_source=zola&utm_medium=referral&utm_campaign=listing,4.5
"Greensboro, NC",Studio Ace Photography,Photojournalistic,"$2,000 ",(336) 864-1312,http://studioacephoto.com/,4.5
"Woodruff, SC",Light Rise Photo,Classic,"$3,000 ",lightrisephotography@gmail.com,http://lightrisephotography.com/,4.5
"Atlanta, GA",Ruzin Cunningham Photos,Photojournalistic,"$2,900 ",(770) 367-5962,https://ruzincunningham.com/,4.5
"Greensboro, NC",Forest and Fog Collective,Photojournalistic,"$2,600 ",hello@forestandfog.com,http://forestandfog.com/,4.5
"Chapel Hill, NC",Sarah Coates Photography,Photojournalistic,"$1,201 ",sarahcoatesphotos@gmail.com,https://www.sarahcoatesphotos.com/,4.5
"Allentown, PA",Pics by Nics {Pictures by Nicole Seaman},Photojournalistic,"$2,999 ",picsbynics@gmail.com,https://www.picsbynics.com/,4.5
"Charleston, SC",MSMP MEDIA LLC,Fine Art,"$1,600 ",(616) 485-8057,http://msmpmedia.com/,4.5
"Winston Salem, NC",dl photo + film,Fine Art,"$2,000 ",info@dlphotoandfilm.com,https://www.dlphotoandfilm.com/,4.5
"Jacksonville, FL",The Narrative by Jarrod Rigby (Photo + Video),Editorial,"$2,600 ",info@jarrodrigby.com,https://www.jarrodrigby.com/?utm_source=zola&utm_medium=referral&utm_campaign=listing,4.5
"Kissimmee, FL",505 Media Co,Classic,"$1,500 ",(574) 806-0900,https://505mediaco.com/,4.5
"Charleston, SC",Marcela Rowe Photography,Classic,"$4,000 ",(704) 777-7707,http://www.critseyrowe.com/,4.5
"Williamson, GA",Kayleigh Guerrero Photography,Classic,"$2,300 ",(470) 233-5940,https://www.kayleighguerrerophotos.com/,4.5
"Asheville, NC",JCM Photography,Photojournalistic,$475 ,(828) 367-7159,http://www.yourjcmphotography.com/,4.5
