Location,VenueName,GuestCapacity,ServiceType,FacilityType,StartingPrice,Contact,Webpage,Review
"Charlotte, NC",The Collector's Room,300,Limited services,Indoor,NA,(980) 598-9772,https://www.beaumondevenues.com/the-collectors-room,4.2
"Charlotte, NC",Le Meridien Charlotte / Sheraton Charlotte Hotel,900,Limited services,Indoor & outdoor,NA,(704) 372-9610,https://www.marriott.com/en-us/hotels/cltmd-le-meridien-charlotte/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,4.2
"Charlotte, NC",Embassy Suites Charlotte/Ayrsley,360,Limited services,Indoor,NA,(704) 970-5400,https://www.hilton.com/en/hotels/clttbes-embassy-suites-charlotte-ayrsley/?SEO_id=GMB-AMER-ES-CLTTBES&y_source=1_MjQ0NDAyMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,5
"Charlotte, NC",Luxe Event Venue,200,Limited services,Indoor & outdoor,"$5,000 ",(704) 371-1080,http://charlottevenues.com/luxe,5
"Charlotte, NC",BanquetOne,120,Limited services,Indoor,$699 ,(704) 315-8908,http://www.banquetone.com/,5
"Charlotte, NC",TPC Piper Glen,180,All-inclusive,Indoor & outdoor,"$6,000 ",(704) 846-1212,https://www.invitedclubs.com/clubs/tpc-piper-glen,5
"Charlotte, NC",Weathered Souls Charlotte,250,Limited services,Indoor,"$1,000 ",(980) 890-0582,https://weatheredsouls.beer/,5
"Charlotte, NC",Heist Brewery and Barrel Arts,200,All-inclusive,Indoor & outdoor,"$5,000 ",(704) 595-3111,https://www.heistbrewery.com/barrel-arts,5
"Charlotte, NC",The Palisades Country Club,160,Limited services,Indoor & outdoor,NA,(704) 504-0099,http://www.thepalisadescc.com/,5
"Charlotte, NC",East CLT Ballroom at the BOplex,260,Limited services,Indoor & outdoor,NA,(704) 372-3600,https://www.boplex.com/,5
"Matthews, NC",Matthews Ballroom+Events,75,All-inclusive,Indoor,"$2,900 ",(855) 704-2111,http://www.matthewsballroom.com/,5
"Huntersville, NC",Hunter House & Gardens,300,Limited services,Indoor & outdoor,"$7,000 ",(704) 891-1913,http://www.hhgevents.com/,5
"Huntersville, NC",Manjal Space,75,Raw space,Indoor & outdoor,NA,(704) 779-1922,https://manjalmanor.com/,4.3
"Huntersville, NC",Magnolia Woods Weddings and Events,225,Limited services,Indoor & outdoor,NA,(704) 274-9303,http://magnoliawoodsevents.com/,4.3
"Marvin, NC",Firethorne Country Club,125,All-inclusive,Indoor & outdoor,"$8,000 ",(704) 243-2433,https://www.invitedclubs.com/clubs/firethorne-country-club,4.3
"Midland, NC",The Andrews Farm,200,Raw space,Outdoor,"$8,500 ",,https://www.andrewsfarmevents.com/,4.3
"Lancaster, SC",Laurel Haven Estate,200,Limited services,Indoor & outdoor,"$6,000 ",(803) 203-7565,http://laurelhavenestate.com/,4.3
"Monroe, NC",Camellia Gardens,150,Limited services,Indoor & outdoor,"$6,000 ",(704) 778-1288,https://www.empirecommunities.com/the-carolinas/community/camellia-gardens/?utm_source=google&utm_medium=gmb-camellia,4.2
"Fort Mill, SC",Anne Springs Close Greenway - Bob Reid Field Trial Barn,200,Limited services,Indoor & outdoor,$500 ,(803) 547-1009,https://www.ascgreenway.org/about/venues/,4
"Fort Mill, SC",Anne Springs Close Greenway - Springfield Golf Pavilion,200,Limited services,Indoor & outdoor,$800 ,(803) 547-4575,https://www.ascgreenway.org/about/venues/pavilion-at-springfield-golf-club/,3
"Fort Mill, SC",The Mirror Room,130,All-inclusive,Indoor,$95 ,(704) 724-6929,https://themirrorroom.com/,5
"Matthews, NC",The View at Emerald Lake,250,Limited services,Indoor & outdoor,"$6,000 ",(704) 899-2930,https://www.emeraldlakegolfclub.com/events,5
"Concord, NC",The Wynhdam Ball Room,200,Limited services,Indoor,"$6,000 ",(704) 353-7162,https://thewynhdamballroom.com/,5
